,hour,Ein,Eout,lbmp,charge_state,time_stamp
0,0,0.0,15.6091108541422,33.6,100.0,2017-01-01 00:00:00
1,1,0.0,0.0,32.05,83.0695421813438,2017-01-01 01:00:00
2,2,0.0,0.0,29.23,83.0695421813438,2017-01-01 02:00:00
3,3,26.8288887377307,0.0,25.02,83.0695421813438,2017-01-01 03:00:00
4,4,0.0,0.0,26.94,107.804555427071,2017-01-01 04:00:00
5,5,0.0,0.0,25.62,107.804555427071,2017-01-01 05:00:00
6,6,100.0,0.0,24.03,107.804555427071,2017-01-01 06:00:00
7,7,0.0,0.0,27.36,200.0,2017-01-01 07:00:00
8,8,0.0,0.0,30.58,200.0,2017-01-01 08:00:00
9,9,0.0,0.0,35.4,200.0,2017-01-01 09:00:00
10,10,0.0,0.0,31.5,200.0,2017-01-01 10:00:00
11,11,0.0,0.0,30.45,200.0,2017-01-01 11:00:00
12,12,0.0,0.0,31.78,200.0,2017-01-01 12:00:00
13,13,-0.0,0.0,29.96,200.0,2017-01-01 13:00:00
14,14,0.0,0.0,30.08,200.0,2017-01-01 14:00:00
15,15,0.0,0.0,30.09,200.0,2017-01-01 15:00:00
16,16,0.0,0.0,35.3,200.0,2017-01-01 16:00:00
17,17,0.0,100.0,45.54,200.0,2017-01-01 17:00:00
18,18,0.0,84.3908891458578,40.93,91.5347710906719,2017-01-01 18:00:00
19,19,0.0,0.0,39.6,0.0,2017-01-01 19:00:00
20,20,0.0,0.0,37.35,0.0,2017-01-01 20:00:00
21,21,0.0,0.0,35.54,0.0,2017-01-01 21:00:00
22,22,0.0,0.0,31.84,0.0,2017-01-01 22:00:00
23,23,100.0,0.0,29.81,0.0,2017-01-01 23:00:00
24,24,0.0,0.0,36.16,92.1954445729289,2017-01-02 00:00:00
25,25,0.0,0.0,35.07,92.1954445729289,2017-01-02 01:00:00
26,26,0.0,0.0,30.14,92.1954445729289,2017-01-02 02:00:00
27,27,100.0,0.0,27.35,92.1954445729289,2017-01-02 03:00:00
28,28,0.0,0.0,29.9,184.390889145858,2017-01-02 04:00:00
29,29,16.9304578186562,0.0,29.9,184.390889145858,2017-01-02 05:00:00
30,30,-0.0,0.0,32.03,200.0,2017-01-02 06:00:00
31,31,0.0,0.0,35.55,200.0,2017-01-02 07:00:00
32,32,0.0,0.0,38.98,200.0,2017-01-02 08:00:00
33,33,0.0,15.6091108541422,43.58,200.0,2017-01-02 09:00:00
34,34,0.0,0.0,39.17,183.069542181344,2017-01-02 10:00:00
35,35,0.0,0.0,39.42,183.069542181344,2017-01-02 11:00:00
36,36,0.0,0.0,39.52,183.069542181344,2017-01-02 12:00:00
